Year,Quarter,Revenue,Expenses,Profit,Assets,Liabilities,Equity
2021,Q1,1000000,800000,200000,5000000,2000000,3000000
2021,Q2,1200000,900000,300000,5200000,2100000,3100000
2021,Q3,1100000,850000,250000,5300000,2000000,3300000
2021,Q4,1300000,950000,350000,5500000,2200000,3300000
2022,Q1,1150000,880000,270000,5600000,2300000,3300000
2022,Q2,1250000,920000,330000,5800000,2400000,3400000
2022,Q3,1180000,900000,280000,5900000,2500000,3400000
2022,Q4,1350000,1000000,350000,6100000,2600000,3500000
2023,Q1,1220000,910000,310000,6200000,2700000,3500000
2023,Q2,1320000,980000,340000,6400000,2800000,3600000
